TAX PERIOD,NAICS,PRIMARY NAICS DESCRIPTION,LOCATION COUNT,TOTAL MEASURE
200500A,311600,Animal Slaughtering and Processing ,4,$0.00
200500A,441210,Recreational vehicle dealers (including motor home & travel trailer dealers),1,$0.00
200500A,444110,Home centers,12,$53131236.00
200600A,326000,Plastics & rubber products mfg.,36,$35542598.00
200600A,541360,Geophysical surveying & mapping services,24,$4186978.00
200500A,485410,School & employee bus transportation,12,$1000.00
200500A,485510,Charter bus industry,7,$84999.00
200500A,513322,Cellular and Other Wireless Telecommunications,9,$304850624.00
200500A,513330,Telecommunications Resellers,1,$0.00
200500A,523210,Securities & commodity exchanges,9,$13472792.00
201500A,812220,Cemeteries & crematories,17,$18288252.00
201500A,441210,Recreational vehicle dealers (including motor home & travel trailer dealers),7,$58184.00
200600A,541350,Building inspection services,31,$1854162.00
200600A,441210,Recreational vehicle dealers (including motor home & travel trailer dealers),1,$0.00
200600A,485410,School & employee bus transportation,12,$0.00
200600A,513322,Cellular and Other Wireless Telecommunications,9,$692736692.00
200600A,513330,Telecommunications Resellers,5,$904.00
200600A,523210,Securities & commodity exchanges,9,$16449795.00
200600A,624200,"Community food & housing, & emergency & other relief services",26,$512845.00
200600A,712100,"Museums, historical sites, & similar institutions",2,$0.00
200900A,444110,Home centers,34,$108954211.00
200500A,522100,"Depository credit intermediation (including commercial banking, savings institutions, & credit unions)",16,$2035454.00
200800A,484200,Specialized freight trucking (including household moving vans),70,$3904295.00
200600A,624310,Vocational rehabilitation services,14,$10722296.00
200700A,441210,Recreational vehicle dealers (including motor home & travel trailer dealers),3,$0.00
200700A,513322,Cellular and Other Wireless Telecommunications,10,$779583878.00
200500A,532220,Formal wear & costume rental,94,$22577474.00
200700A,712100,"Museums, historical sites, & similar institutions",6,$17437.00
200800A,326000,Plastics & rubber products mfg.,54,$13388121.00
200800A,444110,Home centers,31,$127752549.00
200800A,513322,Cellular and Other Wireless Telecommunications,13,$892007828.00
200500A,541340,Drafting services,26,$270116.00
200900A,532220,Formal wear & costume rental,117,$28932286.00
200800A,712100,"Museums, historical sites, & similar institutions",4,$0.00
200900A,454112,Electronic auctions,9,$168249.00
200900A,513322,Cellular and Other Wireless Telecommunications,14,$956474575.00
200600A,454112,Electronic auctions,2,$0.00
200600A,532220,Formal wear & costume rental,100,$28332812.47
200900A,712100,"Museums, historical sites, & similar institutions",7,$92752.00
200500A,541350,Building inspection services,24,$587196.00
200500A,324100,Petroleum & coal products mfg.,6,$8129700.00
200700A,541350,Building inspection services,39,$2375322.56
201000A,444110,Home centers,35,$103467487.00
201000A,454112,Electronic auctions,12,$172485.00
201000A,712100,"Museums, historical sites, & similar institutions",9,$3098244.00
201100A,532220,Formal wear & costume rental,129,$28474606.00
200700A,444110,Home centers,27,$121727169.00
201100A,454112,Electronic auctions,15,$268330.00
200600A,322000,Paper mfg.,18,$12179986.00
201200A,446190,Other health & personal care stores,538,$264226724.47
201200A,424500,Farm product raw materials,51,$98413254.07
200800A,423500,Metal & mineral (except petroleum),249,$367556707.00
201600A,485990,Other transit & ground passenger transportation,624,$18391748.00
201600A,518111,Internet service providers,260,$878313844.00
201400A,443130,Camera & photographic supplies stores,106,$13101309.00
200900A,624200,"Community food & housing, & emergency & other relief services",62,$1363524.00
201400A,813000,"Religious, grantmaking, civic, professional, & similar organizations",148,$8923692.00
201100A,532210,Consumer electronics & appliances rental,617,$622513081.77
200700A,812210,Funeral homes & funeral services,35,$19778111.00
200900A,235520,Floor Laying and Other Floor Contractors (1997 NAICS),356,$111812974.00
201600A,621330,Offices of mental health practitioners (except physicians),1515,$156527386.70
201300A,332000,Fabricated metal product mfg.,314,$517313189.00
200800A,511000,Publishing industries (except Internet),191,$179042544.00
201000A,453920,Art dealers,559,$25922644.47
201600A,448210,Shoe stores,482,$285143289.34
201400A,453310,Used merchandise stores,237,$43277620.00
